13-61-1	कालादौ विहितं विशेषमिति शेषः।।<br>
13-61-3	उपपत्तिभिः आदरादिभिर्युक्तः सन्।।<br>
13-61-4	कलिपूर्वं चेति झ. पाठः।।<br>
13-61-6	क्षुतं क्षुतेन दूषितम्।।<br>
13-61-7	निरोंकारेण अननुज्ञातेन शूद्रेण वा।।<br>
13-61-8	परिभुक्तं देवातिथिपितृबालकादीन्वर्जयित्वा भुक्तं स्वेन्नैव।।<br>
13-61-10	आज्याहुतिं पात्राभिघारणं विना।।<br>
13-61-11	विसर्गस्य ब्राह्मणे दानस्य पात्रभूते।।<br>
13-61-12	पतिताः महापातकेन जातिबहिर्भूताः। केतनं निमन्त्रणम्।।<br>
13-61-13	श्वित्री श्वेतकुष्ठी। कुष्ठी मण्डलकुष्ठी। यक्ष्महतो महारोगी। अपस्मारी ग्रहग्रस्तः।।	<br>
13-61-14	देवलका देवार्चनवृत्तिजीविनः।<br>
13-61-15	प्लवकाः क्रीडापराः। कथका वृथालापिनः। योधका मल्लाः।।	<br>
13-61-16	वृषलानां शूद्राणां होतारो याजकाः।।<br>
13-61-17	अनुयोक्ता भृतकाध्यापकः। अनुयुक्तो भृतकाध्येता।।<br>
13-61-18	वर्णावरपरिग्रहः शूद्रापतिः।।<br>
13-61-20	गणपूर्वा ग्रामण्यः। पुत्रिकापूर्वपुत्राः। अस्यामुत्पन्नः पुत्रो मदीय इति नियमेन या दीयते तस्यां च यो जातः स पुत्रिकापूर्वपुत्रः।।<br>
13-61-21	ऋणकर्ता वृद्ध्यार्थं धनप्रयोक्ता।।<br>
13-61-22	स्त्रीपूर्वाः स्त्रीजिताः स्त्रीपण्योपजीविनो वा। काण्डपृष्ठो वेश्यापतिः। अजपाः सन्ध्यावन्दनहीनाः।।<br>
13-61-23	अनुग्रहं निषिद्धानामपि केनचिद्गुणेनाभ्यनुज्ञानम्।।<br>
13-61-25	वणिजं वणिग्वृत्तिम्।।<br>
13-61-28	उदित आढ्यः। अस्तमितो दरिद्रः पूर्वं आढ्यः सद्यो दरिद्रः।।<br>
13-61-29	अकल्ककोऽदाम्भिकः अपापो वा। अतर्कोऽहैतुकः संसर्गे सङ्गत्यर्हे गृहे ज्ञाते भैक्ष्यवृत्तिः।।<br>
13-61-30	कितवो धूर्तः।।<br>
13-61-31	सर्वं देवतादिकं अतिथिरेव यस्य स सर्वातिथिः।।<br>
13-61-32	ब्रह्म वेदः। क्लैब्यात् दीनभाषणेन मिध्याशपथादिना वा।।<br>
13-61-33	अपवर्गे श्राद्धसमाप्तौ युक्तं अस्तुस्वधेत्यादिवचनं गवानृतं अनृतगोशपथस्य पापम्।।<br>
13-61-34	सोमक्षयो दर्शः। आरण्यं मृगादिमांसं च यदा प्राप्तं तदैव श्राद्धस्य कालः।।<br>
13-61-40	स्वधा वै मुदिता भवेदिति झ.पाठः। स्वधोच्यतामिति प्रदात्रा उक्ते अस्तुस्वधेति ब्राह्मणो वदेत्। एवमुत्तरत्र मुदिता प्रीतिकरी पितॄणामित्यर्थात्।।<br>
13-61-42	पुण्याहं भवन्तो ब्रुवन्त्विति यजमानेन प्रोक्ते ओं पुण्याहमस्त्विति ब्राह्मणा ब्रूयुः। दैवं सोङ्कारम्।।<br>
13-61-43	दैवे ओङ्कारस्थाने प्रीयन्तां देवताः पुण्याहमस्त्विति प्रतिवदेदित्यर्थः।।<br>
13-61-49	रशना भेखला। मौञ्जी मुञ्जमयी। मौर्वी धनुर्ज्या। बाल्बजी बल्बजस्तृणविसेषस्तन्मयी।।<br>
13-61-51	धर्मो दातुः। अधर्मः प्रतिग्रहीतुः।।<br>
13-61-53	ब्राह्मणेन केतितः सन् यदि यवीयान् भवेत्तर्हि वृथा पशुहिंसायाः पूर्णं पापं प्राप्नुयात्। क्षत्रियादिना केतितः सन् यदि यवीयान्स्यात्तर्हि वृथापशुहिंसाया अर्धं पापं प्राप्नुयाटिति श्लोकद्वयार्थः।।<br>
13-61-55	आशौचः जननमरणाशौचवान्।।<br>
13-61-56	अर्थेन प्रयोजनेन तीर्थयात्राव्यपदेशेन जीविकाद्यर्थी यो धनं लिप्तेत् यो वा कर्मार्थं मे भिक्षां देहीत्यामन्त्रयति दातारममिमुखीकरोति तस्यापि अनृतं गवानृतमेव स्मृतम्।।<br>
13-61-57	वेदव्रतं चारित्रं च येषां नास्ति ते। येन मन्त्रवत् मन्त्रयुक्तं यथा स्यात्तथा श्राद्धे परिविष्यन्ते तस्य।।
